date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2012-03-27 00:00:00+00:00,205.44,209.85,202.88,203.59,9600800,205.44,209.85,202.88,203.59,9600800,0.0,1.0
2012-03-28 00:00:00+00:00,201.16,207.0,200.31,206.14,6245000,201.16,207.0,200.31,206.14,6245000,0.0,1.0
2012-03-29 00:00:00+00:00,204.61,205.31,200.63,201.28,5711200,204.61,205.31,200.63,201.28,5711200,0.0,1.0
2012-03-30 00:00:00+00:00,202.51,206.85,201.87,205.02,4438100,202.51,206.85,201.87,205.02,4438100,0.0,1.0
2012-04-02 00:00:00+00:00,198.05,199.9,197.0,198.02,6430300,198.05,199.9,197.0,198.02,6430300,0.0,1.0
2012-04-03 00:00:00+00:00,199.66,202.39,197.5,198.24,5000700,199.66,202.39,197.5,198.24,5000700,0.0,1.0
2012-04-04 00:00:00+00:00,193.99,197.68,192.36,196.95,5456900,193.99,197.68,192.36,196.95,5456900,0.0,1.0
2012-04-05 00:00:00+00:00,194.39,196.03,193.55,193.55,3217500,194.39,196.03,193.55,193.55,3217500,0.0,1.0
2012-04-09 00:00:00+00:00,191.87,194.2,190.5,192.02,3135900,191.87,194.2,190.5,192.02,3135900,0.0,1.0
2012-04-10 00:00:00+00:00,186.98,193.52,186.57,192.75,4455000,186.98,193.52,186.57,192.75,4455000,0.0,1.0
2012-04-11 00:00:00+00:00,187.97,191.97,186.79,189.63,4337800,187.97,191.97,186.79,189.63,4337800,0.0,1.0
2012-04-12 00:00:00+00:00,190.69,192.26,185.61,188.06,4027900,190.69,192.26,185.61,188.06,4027900,0.0,1.0
2012-04-13 00:00:00+00:00,188.46,189.94,186.26,189.9,3431800,188.46,189.94,186.26,189.9,3431800,0.0,1.0
2012-04-16 00:00:00+00:00,185.5,189.47,183.65,189.01,4044300,185.5,189.47,183.65,189.01,4044300,0.0,1.0
2012-04-17 00:00:00+00:00,188.39,190.04,186.87,187.21,2829200,188.39,190.04,186.87,187.21,2829200,0.0,1.0
2012-04-18 00:00:00+00:00,191.07,193.45,188.74,188.82,4001900,191.07,193.45,188.74,188.82,4001900,0.0,1.0
2012-04-19 00:00:00+00:00,191.1,194.55,189.75,192.93,4002400,191.1,194.55,189.75,192.93,4002400,0.0,1.0
2012-04-20 00:00:00+00:00,189.98,193.48,189.8,192.34,3243600,189.98,193.48,189.8,192.34,3243600,0.0,1.0
2012-04-23 00:00:00+00:00,188.24,188.99,185.51,188.99,3481000,188.24,188.99,185.51,188.99,3481000,0.0,1.0
2012-04-24 00:00:00+00:00,190.33,190.7,186.51,188.68,3376300,190.33,190.7,186.51,188.68,3376300,0.0,1.0
2012-04-25 00:00:00+00:00,194.42,194.8,191.6,191.67,3955100,194.42,194.8,191.6,191.67,3955100,0.0,1.0
2012-04-26 00:00:00+00:00,195.99,196.36,193.02,193.57,10234000,195.99,196.36,193.02,193.57,10234000,0.0,1.0
2012-04-27 00:00:00+00:00,226.85,228.69,220.22,224.83,22116900,226.85,228.69,220.22,224.83,22116900,0.0,1.0
2012-04-30 00:00:00+00:00,231.9,233.84,223.05,223.95,9756900,231.9,233.84,223.05,223.95,9756900,0.0,1.0
2012-05-01 00:00:00+00:00,230.04,232.97,228.4,229.4,6754900,230.04,232.97,228.4,229.4,6754900,0.0,1.0
2012-05-02 00:00:00+00:00,230.25,231.44,227.4,227.82,4593400,230.25,231.44,227.4,227.82,4593400,0.0,1.0
2012-05-03 00:00:00+00:00,229.45,232.53,228.03,229.74,4055500,229.45,232.53,228.03,229.74,4055500,0.0,1.0
2012-05-04 00:00:00+00:00,223.99,229.7199,223.74,227.8,4585200,223.99,229.7199,223.74,227.8,4585200,0.0,1.0
2012-05-07 00:00:00+00:00,225.16,226.8675,222.29,222.36,3314300,225.16,226.8675,222.29,222.36,3314300,0.0,1.0
2012-05-08 00:00:00+00:00,223.9,225.39,218.2,223.15,4522400,223.9,225.39,218.2,223.15,4522400,0.0,1.0
2012-05-09 00:00:00+00:00,222.98,225.78,220.16,220.59,3712000,222.98,225.78,220.16,220.59,3712000,0.0,1.0
2012-05-10 00:00:00+00:00,226.69,229.08,221.95,223.91,4648400,226.69,229.08,221.95,223.91,4648400,0.0,1.0
2012-05-11 00:00:00+00:00,227.68,230.68,225.73,225.95,4193600,227.68,230.68,225.73,225.95,4193600,0.0,1.0
2012-05-14 00:00:00+00:00,222.93,227.29,222.51,225.6,3096600,222.93,227.29,222.51,225.6,3096600,0.0,1.0
2012-05-15 00:00:00+00:00,224.39,230.61,223.0,226.5,5713700,224.39,230.61,223.0,226.5,5713700,0.0,1.0
2012-05-16 00:00:00+00:00,224.06,228.0,222.5,225.0,5261800,224.06,228.0,222.5,225.0,5261800,0.0,1.0
2012-05-17 00:00:00+00:00,218.36,226.0,218.09,225.05,4505500,218.36,226.0,218.09,225.05,4505500,0.0,1.0
2012-05-18 00:00:00+00:00,213.85,219.63,212.81,219.41,5231700,213.85,219.63,212.81,219.41,5231700,0.0,1.0
2012-05-21 00:00:00+00:00,218.11,219.98,212.82,214.03,3579800,218.11,219.98,212.82,214.03,3579800,0.0,1.0
2012-05-22 00:00:00+00:00,215.33,218.87,213.96,218.31,3733100,215.33,218.87,213.96,218.31,3733100,0.0,1.0
2012-05-23 00:00:00+00:00,217.28,217.55,211.18,214.71,4243800,217.28,217.55,211.18,214.71,4243800,0.0,1.0
2012-05-24 00:00:00+00:00,215.24,217.66,212.7,216.98,3141100,215.24,217.66,212.7,216.98,3141100,0.0,1.0
2012-05-25 00:00:00+00:00,212.89,215.98,212.22,214.99,2171400,212.89,215.98,212.22,214.99,2171400,0.0,1.0
2012-05-29 00:00:00+00:00,214.75,216.55,212.29,214.3,2693900,214.75,216.55,212.29,214.3,2693900,0.0,1.0
2012-05-30 00:00:00+00:00,209.23,212.98,207.752,212.14,4078200,209.23,212.98,207.752,212.14,4078200,0.0,1.0
2012-05-31 00:00:00+00:00,212.91,213.7878,207.11,209.48,4944000,212.91,213.7878,207.11,209.48,4944000,0.0,1.0
2012-06-01 00:00:00+00:00,208.22,211.23,207.3,208.44,3951500,208.22,211.23,207.3,208.44,3951500,0.0,1.0
2012-06-04 00:00:00+00:00,214.57,215.35,206.37,207.4,4299600,214.57,215.35,206.37,207.4,4299600,0.0,1.0
2012-06-05 00:00:00+00:00,213.21,216.86,211.16,213.85,3543900,213.21,216.86,211.16,213.85,3543900,0.0,1.0
2012-06-06 00:00:00+00:00,217.64,218.4,214.52,214.63,2710100,217.64,218.4,214.52,214.63,2710100,0.0,1.0
2012-06-07 00:00:00+00:00,218.8,221.49,218.11,219.65,3503900,218.8,221.49,218.11,219.65,3503900,0.0,1.0
2012-06-08 00:00:00+00:00,218.48,219.42,216.66,218.61,2877000,218.48,219.42,216.66,218.61,2877000,0.0,1.0
2012-06-11 00:00:00+00:00,216.5,220.87,215.2,217.49,3749100,216.5,220.87,215.2,217.49,3749100,0.0,1.0
2012-06-12 00:00:00+00:00,216.42,218.0,214.5222,217.65,2833300,216.42,218.0,214.5222,217.65,2833300,0.0,1.0
2012-06-13 00:00:00+00:00,214.73,217.38,213.52,215.52,2325200,214.73,217.38,213.52,215.52,2325200,0.0,1.0
2012-06-14 00:00:00+00:00,214.45,216.5,212.56,215.26,3060900,214.45,216.5,212.56,215.26,3060900,0.0,1.0
2012-06-15 00:00:00+00:00,218.35,219.33,214.46,215.29,3785200,218.35,219.33,214.46,215.29,3785200,0.0,1.0
2012-06-18 00:00:00+00:00,222.66,223.76,216.73,217.28,3369600,222.66,223.76,216.73,217.28,3369600,0.0,1.0
2012-06-19 00:00:00+00:00,224.03,225.2,221.66,223.26,2716600,224.03,225.2,221.66,223.26,2716600,0.0,1.0
2012-06-20 00:00:00+00:00,223.02,224.74,220.84,224.51,2444400,223.02,224.74,220.84,224.51,2444400,0.0,1.0
2012-06-21 00:00:00+00:00,220.575,226.03,220.52,223.84,2843000,220.575,226.03,220.52,223.84,2843000,0.0,1.0
2012-06-22 00:00:00+00:00,222.16,222.51,219.35,221.83,2187500,222.16,222.51,219.35,221.83,2187500,0.0,1.0
2012-06-25 00:00:00+00:00,220.07,221.59,218.0,220.3,2382300,220.07,221.59,218.0,220.3,2382300,0.0,1.0
2012-06-26 00:00:00+00:00,225.61,226.39,221.45,221.45,3754100,225.61,226.39,221.45,221.45,3754100,0.0,1.0
2012-06-27 00:00:00+00:00,225.62,227.5,223.3,225.01,2799200,225.62,227.5,223.3,225.01,2799200,0.0,1.0
2012-06-28 00:00:00+00:00,221.31,224.62,218.75,223.92,2994800,221.31,224.62,218.75,223.92,2994800,0.0,1.0
2012-06-29 00:00:00+00:00,228.35,228.35,223.71,224.7,3614400,228.35,228.35,223.71,224.7,3614400,0.0,1.0
2012-07-02 00:00:00+00:00,229.32,229.34,226.34,229.3,2330700,229.32,229.34,226.34,229.3,2330700,0.0,1.0
2012-07-03 00:00:00+00:00,229.53,229.53,227.59,229.14,1331700,229.53,229.53,227.59,229.14,1331700,0.0,1.0
2012-07-05 00:00:00+00:00,227.06,230.5,226.53,228.62,2682300,227.06,230.5,226.53,228.62,2682300,0.0,1.0
2012-07-06 00:00:00+00:00,225.05,228.9,224.18,226.35,3203200,225.05,228.9,224.18,226.35,3203200,0.0,1.0
2012-07-09 00:00:00+00:00,225.05,226.0,223.45,225.0,1922000,225.05,226.0,223.45,225.0,1922000,0.0,1.0
2012-07-10 00:00:00+00:00,219.5,227.14,218.28,226.25,2982100,219.5,227.14,218.28,226.25,2982100,0.0,1.0
2012-07-11 00:00:00+00:00,218.37,221.74,215.34,218.95,2734700,218.37,221.74,215.34,218.95,2734700,0.0,1.0
2012-07-12 00:00:00+00:00,215.36,217.3,212.61,216.61,2616200,215.36,217.3,212.61,216.61,2616200,0.0,1.0
2012-07-13 00:00:00+00:00,218.39,219.31,213.88,215.63,2221900,218.39,219.31,213.88,215.63,2221900,0.0,1.0
2012-07-16 00:00:00+00:00,216.01,218.31,214.46,216.6,2004200,216.01,218.31,214.46,216.6,2004200,0.0,1.0
2012-07-17 00:00:00+00:00,216.93,217.94,213.96,217.45,1987000,216.93,217.94,213.96,217.45,1987000,0.0,1.0
2012-07-18 00:00:00+00:00,217.47,218.67,215.71,216.15,2093000,217.47,218.67,215.71,216.15,2093000,0.0,1.0
2012-07-19 00:00:00+00:00,226.17,227.5,220.69,220.73,5449400,226.17,227.5,220.69,220.73,5449400,0.0,1.0
2012-07-20 00:00:00+00:00,228.29,229.39,225.295,225.36,4170000,228.29,229.39,225.295,225.36,4170000,0.0,1.0
2012-07-23 00:00:00+00:00,226.01,226.58,221.54,224.72,5515100,226.01,226.58,221.54,224.72,5515100,0.0,1.0
2012-07-24 00:00:00+00:00,223.04,226.61,221.23,226.27,5008700,223.04,226.61,221.23,226.27,5008700,0.0,1.0
2012-07-25 00:00:00+00:00,217.05,222.5,215.91,222.0,3646700,217.05,222.5,215.91,222.0,3646700,0.0,1.0
2012-07-26 00:00:00+00:00,220.01,221.45,214.95,220.0,6937400,220.01,221.45,214.95,220.0,6937400,0.0,1.0
